"year","avrg_oni","type_of_year","drought_count","drought_cost","flooding_count","flooding_cost","freeze_count","freeze_cost","severe_storm_count","severe_storm_cost","tropical_cyclone_count","tropical_cyclone_cost","winter_storm_count","winter_storm_cost","wildfire_count","wildfire_cost"
"1980","0.3","neutral",1,"32.5",1,"2.3",0,"0",0,"0",1,"1.9",0,"0",0,"0"
"1981","-0.3","neutral",0,"0",0,"0",1,"1.7",1,"1.2",0,"0",0,"0",0,"0"
"1982","1.0","el Nino",0,"0",0,"0",0,"0",2,"2.6",0,"0",1,"1.8",0,"0"
"1983","0.5","el Nino",1,"7.6",2,"8.1",1,"5.2",0,"0",1,"7.7",0,"0",0,"0"
"1984","-0.5","la Nina",0,"0",0,"0",0,"0",2,"2.6",0,"0",0,"0",0,"0"
"1985","-0.6","la Nina",0,"0",0,"0",1,"2.9",0,"0",3,"8.7",1,"2",0,"0"
"1986","0.2","neutral",1,"4.1",0,"0",0,"0",1,"1.2",0,"0",0,"0",0,"0"
"1987","1.3","el Nino",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0"
"1988","-0.8","la Nina",1,"43.6",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0"
"1989","-0.6","la Nina",1,"6.2",0,"0",1,"4.2",1,"1.1",1,"18.7",1,"1.4",0,"0"
"1990","0.3","neutral",0,"0",1,"2",1,"6.7",1,"1.6",0,"0",0,"0",0,"0"
"1991","0.6","el Nino",1,"5.6",0,"0",0,"0",1,"1.2",1,"2.8",0,"0",1,"6.2"
"1992","0.6","el Nino",0,"0",0,"0",0,"0",4,"5.8",2,"55.1",1,"4.5",0,"0"
"1993","0.3","neutral",1,"2.2",1,"37.1",0,"0",0,"0",0,"0",1,"9.8",1,"2.4"
"1994","0.5","el Nino",0,"0",1,"1.7",0,"0",1,"1.7",1,"1.7",2,"7",1,"1.2"
"1995","-0.2","neutral",0,"0",1,"4.2",0,"0",1,"9.2",3,"12.8",0,"0",0,"0"
"1996","-0.5","la Nina",1,"2.9",1,"1.6",0,"0",0,"0",1,"8.2",1,"4.9",0,"0"
"1997","1.2","el Nino",0,"0",2,"10.6",0,"0",1,"1.5",0,"0",0,"0",0,"0"
"1998","-0.1","neutral",1,"5.5",1,"1.5",1,"3.9",3,"5.9",3,"11.9",1,"2.2",0,"0"
"1999","-1.2","la Nina",1,"3.8",0,"0",0,"0",1,"3.1",1,"9.9",2,"2.9",0,"0"
"2000","-0.8","la Nina",1,"7.4",1,"1.3",0,"0",0,"0",0,"0",0,"0",1,"1.6"
"2001","-0.3","neutral",0,"0",0,"0",0,"0",1,"4.5",1,"12.3",0,"0",0,"0"
"2002","0.6","el Nino",1,"12.8",0,"0",0,"0",1,"3",1,"1.6",0,"0",1,"1.9"
"2003","0.3","neutral",1,"6.9",0,"0",0,"0",4,"11.1",1,"7.6",0,"0",1,"5.4"
"2004","0.5","el Nino",0,"0",0,"0",0,"0",1,"1.4",4,"73.2",0,"0",0,"0"
"2005","0.0","neutral",1,"1.9",0,"0",0,"0",1,"1.1",4,"217.8",0,"0",0,"0"
"2006","0.1","neutral",1,"7.6",1,"1.9",0,"0",4,"7.9",0,"0",0,"0",1,"1.9"
"2007","-0.6","la Nina",1,"4.4",0,"0",2,"4.4",1,"3.1",0,"0",0,"0",1,"3.4"
"2008","-0.8","la Nina",1,"8.3",1,"11.9",0,"0",5,"9.4",3,"44.3",0,"0",1,"1.5"
"2009","0.3","neutral",1,"4.2",0,"0",0,"0",5,"8.6",0,"0",0,"0",1,"1.2"
"2010","-0.5","la Nina",0,"0",2,"4.7",0,"0",4,"10.4",0,"0",0,"0",0,"0"
"2011","-0.8","la Nina",1,"13.7",2,"5.7",0,"0",9,"35.8",2,"18.3",1,"2",1,"2.1"
"2012","-0.1","neutral",1,"33.3",0,"0",0,"0",7,"18.1",2,"75.3",0,"0",1,"1.9"
"2013","-0.3","neutral",1,"11.4",2,"2.8",0,"0",6,"10.7",0,"0",0,"0",0,"0"
"2014","0.1","neutral",1,"4.3",1,"1.1",0,"0",5,"11",0,"0",1,"2.3",0,"0"
"2015","1.5","el Nino",1,"4.8",2,"4.9",0,"0",5,"7.9",0,"0",1,"3.2",1,"3.2"
"2016","0.4","neutral",1,"3.7",4,"16.8",0,"0",8,"15.4",1,"10.6",0,"0",1,"2.5"
"2017","-0.2","neutral",1,"2.6",2,"3.3",1,"1",8,"17.1",3,"270.3",0,"0",1,"18.4"
"2018","-0.2","neutral",1,"2.8",0,"0",0,"0",6,"8.2",1,"22.5",2,"3.3",1,"2.2"
